Date,Time,Description,Link,Ticker,Is New,Attachments
02/01/2025,05:50,الى الشركات المساهمة المدرجة في سوق العراق للاوراق المالية - اعمام سريان تطبيق المعايير الدولية في العراق,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15796,,false,/isxportal/files/story0_125_1_4_5_50_21.pdf|story0_125_1_4_5_50_21.pdf|true;/isxportal/files/story0_125_1_4_5_50_21.pdf|story0_125_1_4_5_50_21.pdf|true
02/01/2025,05:30,سيعقد إجتماع الهيئة العامة لشركة دبي الخليج للصرافة في يوم الخميس الموافق 2025/1/16,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15795&type=1,,false,/isxportal/files/story0_125_1_4_5_30_17.pdf|story0_125_1_4_5_30_17.pdf|true;/isxportal/files/story0_125_1_4_5_30_17.pdf|story0_125_1_4_5_30_17.pdf|true
31/12/2024,11:14,سيتم إطلاق التداول على أسهم شركة الشرق الاوسط لانتاج وتسويق الاسماك في جلسة الثلاثاء الموافق 2025/1/7,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15794,AMEF,false,/isxportal/files/story0_124_12_2_11_14_53.pdf|story0_124_12_2_11_14_53.pdf|true;/isxportal/files/story0_124_12_2_11_14_53.pdf|story0_124_12_2_11_14_53.pdf|true;/isxportal/files/story1_124_12_2_11_14_53.pdf|story1_124_12_2_11_14_53.pdf|true;/isxportal/files/story1_124_12_2_11_14_53.pdf|story1_124_12_2_11_14_53.pdf|true
31/12/2024,10:14,افصاح- قدمت الشركة العراقية للسجاد والمفروشات البيانات المالية الفصلية للفصل الرابع لعام 2024,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15793&type=1,IITC,false,/isxportal/files/story0_124_12_2_10_14_40.pdf|story0_124_12_2_10_14_40.pdf|true;/isxportal/files/story0_124_12_2_10_14_40.pdf|story0_124_12_2_10_14_40.pdf|true
30/12/2024,09:56,سيتم إطلاق التداول على أسهم شركة الصنائع الكيمياوية العصرية في جلسة الثلاثاء الموافق 2025/1/7,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15792,IMCI,false,/isxportal/files/story0_124_12_1_9_56_39.pdf|story0_124_12_1_9_56_39.pdf|true;/isxportal/files/story0_124_12_1_9_56_39.pdf|story0_124_12_1_9_56_39.pdf|true;/isxportal/files/story1_124_12_1_9_56_39.pdf|story1_124_12_1_9_56_39.pdf|true;/isxportal/files/story1_124_12_1_9_56_39.pdf|story1_124_12_1_9_56_39.pdf|true
30/12/2024,08:39,التقرير الاسبوعي لسوق العراق للاوراق المالية للفترة من 22-26 كانون الاول 2024,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15791,,false,/isxportal/files/story0_124_12_1_8_39_57.pdf|story0_124_12_1_8_39_57.pdf|true;/isxportal/files/story0_124_12_1_8_39_57.pdf|story0_124_12_1_8_39_57.pdf|true
30/12/2024,07:15,افصاح- قدمت شركة فندق السدير البيانات المالية السنوية لعام 2023,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15790&type=1,HSAD,false,/isxportal/files/story0_124_12_1_7_15_25.pdf|story0_124_12_1_7_15_25.pdf|true;/isxportal/files/story0_124_12_1_7_15_25.pdf|story0_124_12_1_7_15_25.pdf|true
29/12/2024,11:30,سيعقد إجتماع الهيئة العامة لشركة الكندي لانتاج اللقاحات والادوية البيطرية في يوم الخميس الموافق 2025/1/23,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15789,IKLV,false,/isxportal/files/story0_124_12_0_11_30_26.pdf|story0_124_12_0_11_30_26.pdf|true;/isxportal/files/story0_124_12_0_11_30_26.pdf|story0_124_12_0_11_30_26.pdf|true;/isxportal/files/story1_124_12_0_11_30_26.pdf|story1_124_12_0_11_30_26.pdf|true;/isxportal/files/story1_124_12_0_11_30_26.pdf|story1_124_12_0_11_30_26.pdf|true
29/12/2024,11:27,سيتم إطلاق التداول على أسهم شركة مصرف اربيل للاستثمار في جلسة الاثنين الموافق 2024/12/30,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15788,BERI,false,/isxportal/files/story0_124_12_0_11_27_22.pdf|story0_124_12_0_11_27_22.pdf|true;/isxportal/files/story0_124_12_0_11_27_22.pdf|story0_124_12_0_11_27_22.pdf|true;/isxportal/files/story1_124_12_0_11_27_22.pdf|story1_124_12_0_11_27_22.pdf|true;/isxportal/files/story1_124_12_0_11_27_22.pdf|story1_124_12_0_11_27_22.pdf|true
29/12/2024,09:56,محضر إجتماع الهيئة العامة المصدق للشركة الوطنية للصناعات الكيمياوية والبلاستيكية المنعقد بتاريخ 2024/11/3,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15787&type=1,INCP,false,/isxportal/files/story0_124_12_0_9_56_59.pdf|story0_124_12_0_9_56_59.pdf|true;/isxportal/files/story0_124_12_0_9_56_59.pdf|story0_124_12_0_9_56_59.pdf|true
26/12/2024,11:05,سيعقد إجتماع الهيئة العامة لشركة صناعات الاصباغ الحديثة في يوم الاحد الموافق 2025/2/16,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15785&type=1,IMPI,false,/isxportal/files/story0_124_12_4_10_54_0.pdf|story0_124_12_4_10_54_0.pdf|true;/isxportal/files/story0_124_12_4_10_54_0.pdf|story0_124_12_4_10_54_0.pdf|true
26/12/2024,10:59,اجابة شركة مصرف الاستثمار العراقي بشأن الافصاح عن الاحداث الجوهرية,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15786&type=1,BIBI,false,/isxportal/files/story0_124_12_4_10_59_25.pdf|story0_124_12_4_10_59_25.pdf|true;/isxportal/files/story0_124_12_4_10_59_25.pdf|story0_124_12_4_10_59_25.pdf|true
26/12/2024,10:49,اعلان- الشركة العراقية لانتاج وتسويق المنتجات الزراعية - ايقاف توزيع الارباح للمساهمين,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15784&type=1,AIRP,false,/isxportal/files/story0_124_12_4_10_49_39.pdf|story0_124_12_4_10_49_39.pdf|true;/isxportal/files/story0_124_12_4_10_49_39.pdf|story0_124_12_4_10_49_39.pdf|true
